EPCI 2017;libellé;année;patients ayant consommé au moins un remboursement de soins au régime agricole
200037133;CC du Provinois;2017;1883
200038958;CC de la Pieve de l'Ornano;2017;830
200038990;CC de Saint-Méen Montauban;2017;3713
200039022;CA Vitré Communauté;2017;9137
200039055;CC Ouche et Montagne;2017;474
200039063;CC Forêts, Seine et Suzon;2017;572
200039204;CC de Lacq-Orthez;2017;4697
200039519;CC du Quercy Blanc;2017;1752
200039642;CC Le Tonnerrois en Bourgogne;2017;1907
200039709;CC du Serein;2017;946
200039758;CC Avallon, Vézelay, Morvan;2017;1364
200039808;CC des Gorges de l'Ardèche;2017;1371
200039824;CC Ardèche des Sources et Volcans;2017;442
200039832;CC Pays des Vans en Cévennes;2017;891
200039857;CA du Pays de Grasse;2017;3586
200039865;CA Metz Métropole;2017;2666
200039907;CC du Sud Messin;2017;955
200039915;CA Cannes Pays de Lérins;2017;2806
200039931;CC Alpes d'Azur;2017;479
200039949;CC Rives de Moselle;2017;468
200040038;CC Saône Doubs Bresse;2017;1229
200040095;CC Isle Vern Salembre en Périgord;2017;1017
200040111;CC Coeur de Chartreuse;2017;883
200040137;CC des Lacs de Champagne;2017;1406
200040178;CC de l'Outre-Forêt;2017;643
200040202;CC Provence Verdon;2017;1507
200040210;CC Lacs et Gorges du Verdon;2017;752
200040244;CA du Bocage Bressuirais;2017;11855
200040251;CC Bassée-Montois;2017;1152
200040277;CA du Pays de Dreux;2017;3699
200040293;CC du Clunisois;2017;1390
200040350;CC Bugey Sud;2017;1707
200040384;CC Isle Double Landais;2017;1148
200040392;CA Le Grand Périgueux;2017;6038
200040400;CC du Pays Ribéracois;2017;2376
200040418;CC du Pays de Serres en Quercy;2017;2402
200040426;CC du Val de l'Oise;2017;1772
200040442;CA Luberon Monts de Vaucluse;2017;6310
200040459;CA Montélimar;2017;3511
200040475;CC Loué - Brûlon - Noyen;2017;2593
200040491;CC Porte de Drômardèche;2017;4034
200040509;CC du Crestois et de Pays de Saillans Coeur de Drôme;2017;1437
200040558;CC Écueillé-Valençay;2017;1802
200040566;CA de l'Ouest Rhodanien;2017;2781
200040574;CC Beaujolais Pierres Dorées;2017;2742
200040590;CA Villefranche Beaujolais Saône;2017;3088
200040624;CC Pays d'Apt-Luberon;2017;2754
200040657;CC de la Matheysine;2017;822
200040681;CC Enclave des Papes-Pays de Grignan;2017;3100
